"TimeStamp","Chords"
"0","N"
"4.82975","Amaj7"
"8.45206","Bbm6"
"10.8669","Emaj7"
"11.61","Adim"
"12.8639","D7"
"14.0249","G"
"15.2787","D"
"15.9289","Gm"
"16.579","G|B"
"19.0868","Bbm"
"20.8515","Bbdim"
"21.5946","Adim"
"22.2447","D7"
"24.0559","G"
"25.2169","D"
"25.9135","G"
"29.2107","B7"
"31.5327","Gbm7b5"
"32.6008","Baug"
"34.0405","Em"
"35.2479","Ab7"
"36.316","Em"
"38.9166","A7"
"40.3098","Ab7"
"41.2851","Dbm"
"42.7712","A7"
"43.7928","E7|G#"
"44.1179","D7"
"49.087","Bbm6"
"50.8517","Bbdim"
"51.5483","Adim"
"52.5235","Gbm7b5"
"53.3595","D"
"54.1025","G"
"55.3099","D7"
"55.9601","Gm"
"56.6102","G"
"59.0716","Ab7"
"61.5329","Abdim"
"62.8332","G"
"64.0871","C"
"65.1088","G|D"
"65.8982","Ab7"
"66.502","C"
"68.406","Cm6"
"74.0717","G"
"75.3255","F|A"
"75.9293","Gb|A#"
"76.4401","G|B"
"79.0407","Bbm6"
"80.8519","Emaj7"
"81.5949","Adim"
"82.7559","D"
"83.4061","G6"
"85.3101","Cm"
"85.9138","G"
"88.2358","Bm7"
"89.0717","Eb7"
"91.3937","D7"
"94.0873","Gmaj7"
"95.1554","D"
"95.8984","Bbm6"
"96.3628","Em"
"97.1987","G"
"99.0563","Gm7b5"
"101.471","Adim"
"102.121","D7|F#"
"104.072","G6"
"105.14","D7"
"105.976","G"
"108.855","B7"
"114.149","A"
"114.985","Gmaj7"
"116.564","Em"
"118.84","A7"
"120.326","Ab7"
"121.58","A7"
"123.484","G6"
"124.134","D"
"125.295","Emaj7"
"125.945","Dm7b5|C"
"126.502","Daug"
"127.199","Gmaj7"
"128.406","Cm"
"128.778","Db"
"130.31","Eb7"
"131.518","Cm"
"132.586","Am6"
"134.026","G6"
"135.326","Am6"
"135.651","Am7b5"
"135.976","Bbm7b5|Ab"
"136.394","G"
"139.041","Ab6"
"139.877","Cm7b5|Bb"
"140.341","Ab7|C"
"141.595","G7"
"144.103","C"
"145.171","G"
"145.914","Ebm6"
"146.471","C"
"148.329","Cm6"
"154.041","G"
"155.341","Am6"
"155.806","Bbdim"
"156.502","G6"
"158.917","Bbm6"
"161.379","Bbdim"
"161.75","Am7b5"
"163.236","D7"
"164.862","G"
"166.719","Cm"
"167.602","Cm7b5"
"168.716","Gmaj7"
"170.156","G6"
"183.205","N"
